datetime,Open,High,Low,Close,Volume
2022-06-06 07:00:00,7.199999,7.21,7.199999,7.199999,
2022-06-06 07:05:00,7.199999,7.25,7.199999,7.25,116.0
2022-06-06 07:10:00,,,,,
2022-06-06 07:15:00,,,,,
2022-06-06 07:20:00,,,,,
2022-06-06 07:25:00,7.179999,7.179999,7.179999,7.179999,50.0
2022-06-06 07:30:00,7.179999,7.179999,7.09,7.09,2712.0
2022-06-06 07:35:00,,,,,
2022-06-06 07:40:00,7.05,7.05,7.05,7.05,259.0
2022-06-06 07:45:00,,,,,
2022-06-06 07:50:00,7.059999,7.059999,7.059999,7.059999,71.0
2022-06-06 07:55:00,7.059999,7.11,7.059999,7.11,601.0
2022-06-06 08:00:00,,,,,
2022-06-06 08:05:00,,,,,
2022-06-06 08:10:00,,,,,
2022-06-06 08:15:00,,,,,
2022-06-06 08:20:00,7.079999,7.079999,7.079999,7.079999,519.0
2022-06-06 08:25:00,,,,,
2022-06-06 08:30:00,,,,,
2022-06-06 08:35:00,7.07,7.07,7.07,7.07,122.0
2022-06-06 08:40:00,7.07,7.07,7.07,7.07,800.0
2022-06-06 08:45:00,,,,,
2022-06-06 08:50:00,,,,,
2022-06-06 08:55:00,7.079999,7.099999,7.079999,7.099999,400.0
2022-06-06 09:00:00,,,,,
2022-06-06 09:05:00,,,,,
2022-06-06 09:10:00,,,,,
2022-06-06 09:15:00,,,,,
2022-06-06 09:20:00,,,,,
2022-06-06 09:25:00,,,,,
2022-06-06 09:30:00,,,,,
2022-06-06 09:35:00,,,,,
2022-06-06 09:40:00,7.099999,7.099999,7.099999,7.099999,124.0
2022-06-06 09:45:00,,,,,
2022-06-06 09:50:00,,,,,
2022-06-06 09:55:00,,,,,
2022-06-06 10:00:00,,,,,
2022-06-06 10:05:00,,,,,
2022-06-06 10:10:00,,,,,
2022-06-06 10:15:00,,,,,
2022-06-06 10:20:00,,,,,
2022-06-06 10:25:00,,,,,
2022-06-06 10:30:00,,,,,
2022-06-06 10:35:00,7.05,7.059999,7.05,7.059999,87.0
2022-06-06 10:40:00,,,,,
2022-06-06 10:45:00,,,,,
2022-06-06 10:50:00,7.05,7.05,7.05,7.05,37.0
2022-06-06 10:55:00,,,,,
2022-06-06 11:00:00,,,,,
2022-06-06 11:05:00,,,,,
2022-06-06 11:10:00,,,,,
2022-06-06 11:15:00,7.099999,7.099999,7.099999,7.099999,35.0
2022-06-06 11:20:00,,,,,
2022-06-06 11:25:00,,,,,
2022-06-06 11:30:00,,,,,
2022-06-06 11:35:00,7.099999,7.139999,7.099999,7.139999,400.0
2022-06-06 11:40:00,,,,,
2022-06-06 11:45:00,,,,,
2022-06-06 11:50:00,7.15,7.15,7.15,7.15,8.0
2022-06-06 11:55:00,7.159999,7.159999,7.159999,7.159999,199.0
2022-06-06 12:00:00,,,,,
2022-06-06 12:05:00,7.159999,7.159999,7.159999,7.159999,536.0
2022-06-06 12:10:00,7.159999,7.159999,7.159999,7.159999,858.0
2022-06-06 12:15:00,7.13,7.139999,7.13,7.139999,366.0
2022-06-06 12:20:00,,,,,
2022-06-06 12:25:00,,,,,
2022-06-06 12:30:00,,,,,
2022-06-06 12:35:00,,,,,
2022-06-06 12:40:00,,,,,
2022-06-06 12:45:00,,,,,
2022-06-06 12:50:00,,,,,
2022-06-06 12:55:00,,,,,
2022-06-06 13:00:00,,,,,
2022-06-06 13:05:00,,,,,
2022-06-06 13:10:00,,,,,
2022-06-06 13:15:00,,,,,
2022-06-06 13:20:00,,,,,
2022-06-06 13:25:00,,,,,
2022-06-06 13:30:00,7.11,7.11,7.11,7.11,243.0
2022-06-06 13:35:00,,,,,
2022-06-06 13:40:00,,,,,
2022-06-06 13:45:00,7.119999,7.119999,7.119999,7.119999,61.0
2022-06-06 13:50:00,,,,,
2022-06-06 13:55:00,,,,,
2022-06-06 14:00:00,,,,,
2022-06-06 14:05:00,7.119999,7.119999,7.119999,7.119999,70.0
2022-06-06 14:10:00,7.099999,7.099999,7.099999,7.099999,157.0
2022-06-06 14:15:00,,,,,
2022-06-06 14:20:00,7.07,7.07,7.07,7.07,730.0
2022-06-06 14:25:00,,,,,
2022-06-06 14:30:00,7.039999,7.039999,6.94,6.969999,2287.0
